observaciones;U;V;T
21;8;-32;2805
292;7;-35;2827
402;2;-35;2830
742;5;-60;2871
812;10;-54;2873
468;5;-53;2909
403;5;-53;2864
260;17;-51;2844
346;16;-47;2830
503;14;-50;2856
675;11;-52;2854
493;-3;-51;2913
131;-7;-39;2926
13;-3;-45;2917
0;0;-46;2871
14;15;-52;2833
359;13;-47;2815
929;12;-55;2834
955;15;-54;2835
954;6;-71;2888
206;11;-81;2897
957;14;-81;2891
980;10;-72;2853
931;11;-61;2827
701;12;-43;2809
827;11;-46;2821
809;4;-46;2821
529;9;-60;2879
572;25;-55;2890
430;17;-42;2887
346;16;-42;2851
419;21;-12;2822
9;19;-14;2801
69;34;-15;2827
530;33;-17;2837
487;65;-9;2891
809;78;4;2892
608;68;-2;2891
192;68;3;2853
518;48;7;2838
576;39;7;2847
116;18;5;2858
139;28;-2;2875
186;46;-3;2922
313;65;10;2935
357;61;8;2930
524;58;21;2889
275;30;14;2838
328;19;9;2808
416;22;9;2826
311;9;-6;2856
225;15;-13;2902
205;35;-23;2897
179;28;-31;2894
16;19;-18;2850
3;25;4;2786
25;12;-24;2763
240;10;-20;2788
281;9;-36;2794
489;21;-57;2861
899;46;-63;2861
842;53;-63;2859
812;61;-62;2820
813;54;-27;2790
553;41;-19;2771
681;36;-27;2795
849;31;-45;2801
537;39;-32;2842
810;89;-1;2893
808;74;-7;2902
803;48;-14;2863
471;20;6;2833
164;12;-8;2801
123;1;-16;2827
150;0;-36;2818
190;-1;-41;2855
397;7;-51;2862
144;13;-54;2871
117;21;-43;2840
164;13;-16;2844
34;26;-24;2835
21;34;-14;2846
134;35;-5;2841
93;29;-4;2875
0;0;4;2910
14;-2;3;2926
8;6;3;2894
0;22;6;2834
0;16;9;2819
66;17;13;2847
171;15;5;2856
117;14;7;2891
129;-35;19;2894
577;-2;-1;2899
419;-23;16;2857
162;-24;4;2854
443;-25;-1;2855
394;-25;-9;2873
529;-5;-17;2855
546;-13;-17;2901
88;-39;-8;2895
386;-36;-23;2882
175;-27;-8;2857
210;-12;-22;2865
226;-9;-14;2856
302;-15;-22;2864
333;-30;-2;2888
884;-46;-15;2932
687;-48;10;2932
397;-59;7;2903
499;-36;-20;2886
854;-16;-21;2845
833;-15;-22;2832
200;-10;-28;2852
299;-7;-18;2863
433;-15;-3;2911
119;-25;19;2897
63;-14;37;2923
67;-6;30;2874
65;14;14;2855
192;-1;25;2837
255;-2;28;2859
210;-29;15;2868
739;-42;0;2909
183;-34;15;2917
58;-2;13;2913
89;5;32;2896
261;-5;23;2867
328;-12;16;2852
114;-17;3;2874
375;-20;4;2870
126;-27;4;2905
40;-20;25;2906
166;-22;16;2908
37;-10;2;2871
0;-9;-14;2865
10;1;-6;2862
8;-6;-19;2878
1;10;-27;2881
20;2;-42;2946
203;6;-45;2943
74;6;-42;2957
294;11;-51;2909
878;14;-52;2873
984;15;-60;2854
856;13;-66;2870
806;12;-49;2861
947;6;-60;2909
842;9;-70;2924
617;15;-66;2918
771;14;-68;2881
618;10;-50;2843
429;11;-59;2815
826;14;-54;2825
912;11;-46;2816
700;9;-67;2875
943;20;-80;2883
679;23;-67;2893
716;32;-52;2861
749;13;-14;2803
92;15;3;2796
14;12;-20;2803
30;-5;-21;2814
218;-7;-36;2884
30;20;-25;2891
0;6;-25;2878
106;9;-27;2826
431;4;-31;2782
204;5;-21;2772
460;7;-25;2789
616;4;-39;2804
449;17;-38;2857
197;43;-43;2846
133;50;-49;2854
389;62;-31;2831
819;53;-15;2797
371;34;-7;2805
350;23;-5;2831
131;24;0;2853
633;44;17;2908
677;75;52;2924
732;74;54;2927
658;72;51;2890
672;61;64;2865
737;45;57;2877
743;26;36;2891
692;28;33;2889
601;37;35;2930
699;52;37;2952
380;24;32;2942
55;20;15;2899
13;21;7;2833
426;26;5;2824
491;29;2;2847
236;24;-2;2860
402;23;-5;2950
268;51;2;2951
351;44;11;2946
95;39;5;2889
330;28;5;2832
244;29;0;2838
276;37;2;2869
426;31;9;2895
462;34;19;2950
478;56;23;2972
329;46;24;2959
211;28;18;2930
22;23;7;2842
13;26;9;2831
1;24;16;2845
0;-12;16;2887
0;-4;-7;2963
151;12;-7;2956
105;9;-7;2956
26;4;6;2907
0;13;4;2827
108;9;-10;2833
162;6;-24;2849
333;-6;-20;2852
130;-9;-25;2939
82;6;-37;2938
4;9;-29;2938
62;16;-30;2892
232;17;-19;2823
467;13;-27;2811
495;10;-37;2837
838;10;-39;2832
856;5;-59;2898
948;11;-72;2895
645;17;-63;2888
579;13;-67;2848
966;15;-47;2810
979;16;-48;2790
931;13;-49;2800
978;13;-51;2802
952;8;-66;2863
698;11;-76;2864
559;-1;-79;2863
736;3;-83;2824
541;18;-71;2794
955;16;-68;2782
874;16;-74;2807
945;11;-74;2797
444;12;-86;2833
700;15;-88;2833
968;26;-80;2837
916;22;-84;2821
867;26;-59;2797
959;23;-55;2786
926;23;-58;2810
775;18;-55;2805
926;12;-70;2840
800;16;-78;2845
907;16;-81;2854
916;22;-83;2828
633;27;-51;2802
457;28;-48;2792
581;25;-43;2802
589;15;-46;2799
864;18;-52;2832
642;3;-52;2835
162;-13;-37;2842
44;-19;-18;2816
120;-5;-11;2795
19;7;-1;2792
4;15;11;2816
79;3;23;2802
1;-2;9;2851
7;20;18;2855
59;31;27;2843
199;26;32;2819
258;14;13;2759
105;19;9;2746
169;21;3;2762
306;19;-3;2774
451;22;-26;2807
275;35;-41;2801
350;30;-58;2798
102;38;-28;2768
97;26;-11;2781
90;18;-8;2779
65;18;-4;2806
0;10;-3;2798
99;23;-10;2845
44;67;14;2850
697;36;38;2873
181;29;21;2853
80;18;10;2811
22;13;9;2792
0;13;5;2816
0;10;0;2819
0;1;-3;2866
0;-14;-11;2859
0;-17;-17;2853
7;-21;-14;2825
116;-10;-19;2834
255;-14;-12;2813
131;-19;-3;2828
5;-36;6;2817
170;-44;6;2832
335;-45;24;2841
279;-40;28;2854
145;-29;20;2823
180;-13;11;2825
61;-12;9;2795
193;-18;-7;2804
144;-14;14;2821
394;-15;10;2838
37;-42;32;2867
394;-39;26;2853
265;-51;33;2837
475;-28;13;2825
688;-26;12;2812
355;-21;6;2830
312;-5;12;2828
47;8;19;2853
183;-31;26;2859
293;-38;29;2845
199;-25;20;2830
66;4;10;2824
173;-2;12;2813
162;14;14;2834
131;17;11;2835
0;29;4;2866
398;-5;37;2891
100;-24;17;2913
38;-16;0;2873
0;2;-20;2836
0;9;-20;2839
6;19;12;2856
67;22;14;2859
110;5;14;2939
56;5;20;2948
89;5;21;2947
30;-6;16;2909
0;11;2;2827
30;13;13;2855
54;-10;26;2852
0;-31;17;2852
2;-20;2;2940
11;-17;10;2943
9;-16;23;2940
10;-14;14;2898
0;-6;-8;2847
0;-6;-5;2852
65;-8;-4;2854
27;-14;-25;2841
30;-19;2;2915
24;-36;2;2922
152;-37;-4;2916
111;-22;-3;2889
20;-9;-9;2831
38;-7;-17;2820
4;-11;-25;2827
253;-19;-22;2839
95;-20;-4;2908
51;-40;-1;2917
138;-34;0;2919
118;-19;0;2883
103;-9;-22;2822
136;-8;-20;2807
178;-9;-22;2835
190;-19;-20;2839
359;-18;-11;2881
194;-29;1;2917
64;-10;3;2918
2;1;5;2883
0;12;0;2845
0;8;4;2835
1;-16;27;2839
7;-22;11;2838
86;-18;9;2901
6;-21;27;2919
128;-8;27;2920
49;-9;9;2886
0;7;-6;2828
0;5;-8;2831
65;-5;-7;2842
65;-15;0;2855
78;-20;-2;2909
61;-38;-4;2907
121;-33;3;2904
42;-18;-8;2873
68;-4;-18;2807
144;-4;-13;2812
98;-8;-16;2820
99;-14;-16;2826
564;-27;-7;2863
318;-29;-14;2887
88;-20;-21;2893
0;-3;-34;2862
0;6;-23;2822
76;11;-34;2815
253;10;-32;2828
274;13;-27;2825
580;-1;-10;2877
472;-25;-51;2900
363;-12;-46;2883
397;-7;-62;2845
717;10;-42;2821
460;13;-32;2810
23;9;-22;2828
18;5;-17;2826
3;-16;-19;2886
31;-7;-55;2896
185;-8;-31;2898
5;1;-19;2858
0;12;-32;2785
4;8;-23;2781
5;11;-27;2808
154;8;-34;2801
225;-2;-39;2844
253;-6;-50;2846
304;-5;-48;2844
590;2;-64;2811
654;9;-41;2799
493;11;-37;2774
678;13;-39;2799
828;15;-38;2793
897;0;-49;2841
728;7;-58;2840
639;6;-62;2836
798;18;-52;2807
697;16;-36;2814
440;6;-52;2803
715;2;-48;2818
103;9;-39;2807
35;-8;-32;2833
610;-17;-29;2842
46;-26;-11;2853
14;-26;-8;2818
99;-17;-14;2802
299;-16;-11;2785
266;-18;15;2805
323;-23;5;2801
188;-25;9;2855
245;-41;14;2866
121;-36;20;2863
87;-25;18;2831
25;-15;3;2809
0;-11;-7;2792
0;-17;3;2822
17;-14;-11;2799
107;-27;-4;2849
61;-32;5;2863
27;-38;12;2864
48;-16;-2;2822
47;-11;-12;2783
170;-20;7;2769
168;-29;-4;2792
396;-24;-3;2787
332;-20;7;2832
196;-44;18;2829
204;-41;24;2836
165;-36;20;2813
241;-19;-3;2776
19;-8;-11;2769
0;2;15;2806
30;-1;13;2801
30;-12;10;2842
0;-24;17;2849
14;-24;10;2849
18;-16;1;2805
10;1;-14;2769
0;-7;-12;2751
51;-13;-13;2778
107;-21;-3;2774
121;-23;13;2800
422;-55;10;2814
512;-46;-1;2810
434;-37;-7;2789
217;-26;-10;2788
228;-28;-7;2781
283;-29;-5;2797
411;-38;-10;2786
187;-39;-15;2800
246;-48;-10;2807
369;-51;-13;2808
709;-32;-20;2790
330;-9;-32;2778
267;-4;-39;2754
366;0;-48;2780
436;-9;-36;2773
523;-23;-31;2803
74;-33;-24;2807
8;-28;-12;2784
28;-19;-20;2748
13;2;-36;2730
181;4;-39;2717
296;10;-52;2734
814;17;-60;2727
377;12;-73;2764
757;21;-90;2788
863;26;-96;2814
475;16;-82;2794
924;25;-46;2792
781;23;-38;2772
666;21;-30;2773
728;20;-38;2772
437;10;-40;2808
86;23;-47;2816
77;16;-45;2830
25;17;-27;2801
120;22;-3;2745
87;19;4;2745
42;11;8;2766
9;1;21;2738
0;-27;-5;2792
0;-15;-1;2801
0;10;14;2796
0;-3;29;2780
18;8;37;2769
44;-15;31;2768
323;-12;35;2784
508;-16;19;2778
371;-21;6;2792
13;-34;27;2795
109;-14;13;2781
0;-6;-18;2741
0;-6;-16;2756
69;-12;-12;2742
82;-15;-4;2762
125;-9;-11;2760
68;-8;-4;2808
40;20;3;2821
2;15;-15;2803
8;15;-29;2763
230;32;-25;2768
622;56;-2;2767
711;73;16;2780
843;53;13;2779
614;41;0;2809
544;64;-9;2815
684;65;-26;2821
747;52;-3;2793
486;29;3;2765
478;24;3;2741
192;18;-19;2754
187;16;-48;2761
755;17;-54;2806
766;25;-58;2822
792;13;-63;2826
824;10;-78;2780
656;8;-60;2775
542;9;-64;2757
365;9;-56;2771
215;4;-34;2763
145;-2;-24;2782
1;-11;-31;2779
0;-6;-27;2771
51;-2;-35;2750
143;4;-32;2750
169;1;-26;2736
166;4;-29;2752
202;-8;-21;2762
124;3;-34;2780
3;5;-9;2788
0;10;22;2790
135;-23;42;2778
245;-8;25;2779
340;1;22;2769
242;3;23;2791
284;-7;17;2779
153;-7;22;2818
137;-11;31;2842
99;-9;20;2837
13;-20;20;2789
63;-8;21;2730
18;-6;17;2730
129;-9;10;2740
8;-15;-13;2742
20;-12;-17;2801
1;9;-23;2813
105;12;-30;2809
261;16;-36;2759
509;13;-26;2721
710;16;-31;2715
729;18;-38;2734
818;12;-47;2734
777;14;-58;2774
743;27;-71;2793
756;32;-73;2802
691;49;-66;2781
498;39;-30;2754
713;40;-34;2752
572;39;-40;2765
728;40;-43;2762
668;29;-46;2798
727;44;-70;2800
610;40;-80;2818
711;34;-47;2772
106;24;-39;2759
183;26;-37;2755
120;24;-27;2745
550;28;-27;2735
399;21;-39;2763
407;43;-64;2777
356;30;-63;2772
148;24;-76;2725
266;18;-57;2707
232;11;-72;2695
373;15;-71;2706
451;19;-80;2696
481;21;-85;2723
467;20;-94;2746
366;10;-98;2759
219;11;-89;2717
185;29;-69;2714
54;35;-72;2703
78;33;-55;2711
110;39;-53;2706
207;40;-74;2720
270;45;-101;2744
288;47;-100;2748
224;53;-71;2732
0;52;-75;2725
0;54;-84;2716
0;54;-73;2724
743;69;-82;2722
855;60;-78;2744
829;82;-95;2763
510;79;-81;2797
395;79;-46;2772
461;44;-33;2792
159;30;-26;2788
209;22;-15;2804
536;27;-13;2789
114;10;-22;2862
189;21;-39;2883
335;17;-41;2867
747;25;-24;2813
422;20;-19;2748
304;20;-23;2748
656;17;-31;2765
768;19;-41;2766
719;12;-50;2819
780;11;-66;2834
485;9;-61;2838
470;11;-64;2787
736;13;-49;2757
688;11;-53;2751
657;10;-52;2763
907;8;-53;2773
849;-8;-47;2813
722;-16;-65;2825
499;-10;-56;2845
243;4;-54;2806
117;6;-25;2780
3;8;-25;2776
11;5;-26;2782
191;-15;-24;2794
36;-24;-9;2853
13;-25;1;2874
95;-16;15;2868
40;-7;10;2829
133;-6;-3;2777
129;-5;-9;2782
93;-3;-14;2784
74;-5;-23;2782
129;-19;-14;2838
78;-24;-7;2861
76;-15;-9;2856
2;-3;-18;2804
0;2;-26;2745
0;8;-29;2744
2;10;-27;2758
17;-3;-26;2768
57;-16;-19;2834
21;-23;-19;2850
1;-17;-11;2850
0;-10;3;2806
0;-4;-3;2774
0;3;9;2761
0;1;15;2763
0;-20;20;2762
2;-23;14;2825
6;-15;23;2839
51;-28;21;2835
35;-20;9;2781
275;-10;-11;2722
23;-4;-22;2745
697;6;-41;2774
518;16;-51;2781
708;13;-37;2848
660;12;-44;2858
247;3;-45;2852
390;3;-48;2793
202;6;-55;2757
400;6;-75;2758
341;8;-73;2766
116;4;-75;2764
5;6;-83;2817
55;2;-96;2822
128;1;-92;2829
146;6;-84;2777
346;10;-77;2754
199;7;-82;2749
654;7;-89;2768
452;12;-84;2777
317;8;-72;2825
957;15;-86;2829
980;14;-86;2835
952;17;-64;2801
675;14;-43;2755
592;17;-60;2748
331;15;-61;2752
433;15;-57;2754
565;15;-72;2791
240;22;-110;2791
67;32;-132;2799
148;45;-129;2764
361;41;-103;2761
123;59;-108;2755
573;73;-94;2771
719;49;26;2801
715;98;-18;2800
836;40;21;2787
525;25;21;2775
453;49;26;2801
775;22;3;2828
695;40;21;2787
859;25;21;2775
739;49;26;2801
548;22;3;2828
804;40;21;2787
748;25;21;2775
384;49;26;2801
148;22;3;2828
498;40;21;2787
198;25;21;2775
331;21;11;2769
84;22;3;2828
166;32;0;2843
79;-3;-17;2830
257;11;-33;2780
196;28;-20;2774
512;33;-13;2775
696;50;-10;2794
807;73;-6;2821
871;45;47;2879
831;51;71;2907
949;37;71;2910
513;36;43;2843
653;18;19;2794
733;22;16;2789
158;22;12;2806
504;32;11;2826
344;52;13;2876
536;75;16;2885
474;62;15;2863
668;72;19;2830
457;61;17;2827
802;72;15;2812
698;69;18;2836
606;82;23;2841
630;71;21;2870
901;88;21;2874
606;52;17;2859
723;64;3;2812
776;60;4;2806
858;73;5;2794
869;84;10;2813
915;81;13;2809
762;82;12;2843
744;84;11;2851
810;66;12;2847
743;64;12;2795
846;47;10;2780
841;46;12;2781
335;41;7;2802
312;46;3;2811
414;39;-3;2851
732;69;-9;2862
356;74;0;2852
725;60;5;2813
310;49;9;2816
450;54;6;2812
188;36;13;2817
409;33;11;2812
444;20;9;2859
154;36;-12;2885
126;32;-3;2871
27;21;6;2802
204;29;-6;2765
400;21;-26;2773
381;24;-41;2782
685;24;-37;2770
401;19;-38;2807
620;35;-61;2825
392;32;-50;2818
653;38;-49;2775
671;29;-28;2753
824;31;-31;2747
544;18;-22;2758
330;25;-30;2759
580;17;-32;2802
610;43;-54;2814
371;47;-45;2806
776;93;11;2806
433;85;11;2807
751;81;15;2788
814;75;17;2813
716;78;16;2801
741;70;12;2829
679;85;1;2839
793;81;-2;2835
850;84;8;2796
802;65;6;2795
826;74;10;2785
878;68;9;2796
808;71;12;2799
298;56;11;2805
534;81;8;2833
708;87;10;2842
774;88;16;2798
519;56;18;2790
390;49;17;2776
400;36;13;2794
471;35;13;2785
477;39;7;2831
608;61;-5;2842
568;73;-9;2834
106;41;23;2763
420;40;19;2757
403;36;22;2750
362;27;19;2755
176;20;13;2756
91;13;17;2797
32;25;12;2815
0;15;5;2804
0;14;-22;2765
0;6;-25;2774
0;4;-27;2766
0;5;-24;2777
0;6;-7;2774
6;9;-7;2791
0;18;15;2802
65;23;24;2811
105;26;21;2783
2;14;14;2776
1;16;15;2779
89;25;16;2787
41;23;15;2784
101;26;15;2821
398;48;17;2841
344;44;23;2836
82;20;16;2768
1;16;6;2753
54;10;-19;2762
768;12;-44;2789
685;7;-57;2770
728;20;-67;2789
717;33;-92;2790
927;28;-92;2800
787;19;-88;2767
768;64;-43;2776
510;67;-14;2777
690;62;9;2775
458;77;20;2761
657;68;20;2797
561;65;19;2819
1;49;34;2823
110;42;15;2772
184;32;12;2781
486;54;48;2782
842;33;61;2803
485;14;86;2817
850;-36;48;2871
715;-31;54;2894
453;-21;51;2884
393;1;42;2825
426;-4;27;2793
640;12;24;2798
400;19;24;2808
654;14;33;2805
829;15;39;2840
589;18;49;2875
314;17;38;2845
162;30;22;2776
42;18;14;2716
71;25;8;2719
127;27;-1;2746
396;25;-24;2769
718;22;-29;2817
654;42;-56;2814
800;105;-10;2849
536;107;61;2820
229;59;68;2819
724;37;64;2827
760;38;50;2820
777;39;38;2818
458;32;33;2845
251;69;11;2861
598;48;20;2838
574;40;16;2773
548;29;6;2738
711;23;5;2740
757;25;-2;2755
633;24;3;2767
789;41;-6;2823
831;64;-35;2832
820;57;-23;2840
622;97;23;2831
677;86;41;2839
510;86;40;2831
580;84;41;2847
708;89;46;2835
564;69;54;2859
764;73;31;2861
730;85;18;2857
504;60;19;2817
871;75;11;2829
833;89;17;2802
711;83;22;2810
869;70;12;2798
864;61;11;2830
659;73;-12;2842
737;80;-27;2844
765;93;-16;2795
434;95;-10;2797
521;84;30;2790
666;90;41;2788
688;65;27;2777
857;50;10;2807
769;69;-15;2821
698;70;-26;2817
687;76;-23;2759
645;68;-47;2772
670;45;33;2769
715;19;32;2758
264;21;11;2767
47;10;4;2791
8;-6;-3;2788
280;4;-26;2802
256;39;9;2796
702;61;28;2797
644;72;43;2781
806;60;51;2783
470;57;35;2785
362;45;15;2816
760;75;-10;2821
851;77;-24;2818
798;80;3;2772
790;70;21;2788
698;60;17;2762
646;49;14;2784
549;46;12;2762
456;29;6;2799
100;33;-7;2809
19;32;-18;2808
29;34;-2;2757
144;21;-1;2763
10;18;2;2722
0;13;0;2774
7;15;5;2755
0;-3;-3;2798
5;-2;-6;2805
0;3;-4;2800
0;8;7;2764
0;7;6;2782
0;1;4;2761
0;6;8;2780
13;-3;15;2769
0;-9;13;2796
0;-12;17;2803
0;-2;11;2793
0;5;3;2765
0;17;4;2746
3;17;3;2737
6;20;3;2742
9;13;8;2745
0;9;7;2773
16;9;8;2810
0;6;16;2787
208;2;20;2751
78;-7;18;2733
158;-13;12;2719
203;-11;15;2734
126;-14;15;2727
49;-23;6;2755
0;-17;9;2801
20;-11;10;2781
1;-2;7;2731
0;-4;-11;2728
0;16;-9;2711
0;15;-25;2725
46;13;-32;2723
128;9;-29;2756
118;12;-46;2783
230;23;-42;2781
244;22;-33;2730
283;22;-30;2712
260;21;-31;2731
239;16;-35;2735
187;17;-23;2711
430;14;-24;2738
122;16;-27;2766
0;13;-18;2769
0;11;-7;2724
0;16;1;2717
0;15;5;2716
0;15;2;2738
2;7;3;2729
0;-6;-8;2771
25;10;2;2756
0;3;9;2764
21;3;11;2752
57;-2;5;2759
76;-4;3;2748
108;-4;-4;2771
237;0;-4;2752
4;-4;7;2766
20;-13;7;2765
203;-17;10;2761
217;-1;9;2721
122;-1;9;2713
13;-4;3;2700
89;-5;4;2711
86;-7;1;2707
175;-10;5;2727
260;-21;3;2748
213;-16;4;2740
269;5;-6;2693
69;1;-13;2665
87;7;-12;2665
0;11;-25;2678
46;12;-37;2672
249;14;-45;2728
282;11;-59;2732
177;9;-60;2743
677;14;-71;2698
737;13;-58;2682
721;18;-63;2676
773;17;-54;2688
703;17;-68;2677
700;12;-71;2695
574;7;-75;2717
474;3;-73;2715
363;7;-62;2667
315;8;-62;2675
115;7;-67;2667
17;7;-67;2689
40;7;-65;2680
177;1;-72;2704
424;5;-68;2721
4;22;-64;2728
0;41;-17;2716
6;25;-11;2721
324;74;11;2722
644;67;25;2735
544;51;17;2717
475;26;-11;2737
278;53;-55;2743
624;45;-55;2752
294;53;-51;2716
382;40;-30;2706
271;34;-21;2697
380;33;-44;2714
697;37;-56;2714
442;43;-41;2751
542;80;-42;2764
307;66;-35;2770
90;52;-23;2728
283;41;-42;2742
212;41;-49;2732
378;40;-49;2744
449;49;-50;2735
59;27;-11;2755
102;55;18;2769
295;36;31;2785
292;36;22;2780
404;17;30;2786
373;5;29;2764
264;-6;14;2771
286;-11;0;2756
8;-12;-20;2780
0;-7;-18;2810
0;-3;-32;2797
370;4;-29;2779
176;6;-25;2766
0;9;-19;2762
6;9;-22;2785
157;4;-29;2774
3;-5;-27;2821
6;4;-21;2875
27;19;-6;2861
75;24;7;2800
195;24;8;2767
74;23;7;2770
49;20;12;2781
10;8;13;2799
21;6;1;2859
10;4;-14;2872
0;11;-11;2863
33;15;4;2791
93;21;3;2792
136;25;7;2777
273;23;5;2806
532;39;4;2800
618;47;8;2827
451;57;9;2843
565;64;7;2830
646;60;14;2786
738;54;16;2782
424;47;19;2764
449;39;20;2772
329;38;13;2780
262;33;6;2789
468;62;4;2822
314;51;9;2808
120;39;16;2777
481;29;4;2765
458;30;7;2755
620;26;6;2758
163;23;4;2750
31;20;4;2784
19;22;-7;2810
48;29;0;2806
23;21;5;2758
48;14;5;2760
48;16;6;2751
37;14;11;2764
53;13;13;2759
61;9;21;2789
63;1;23;2827
186;3;22;2807
82;2;15;2757
34;7;12;2754
2;-2;11;2768
0;1;11;2777
0;-1;15;2762
0;-9;13;2797
0;-10;-5;2821
0;-2;-16;2821
0;7;-22;2767
0;3;-30;2758
